"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1779","Авторизация и переход в Историю заказов","page_object.tests","2025-12-09","passed","2025-12-09","TestPersonalAccount","test_personal_account","",""
"","2967","Клик по ленте заказов переводит на ленту заказов страницу","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","923","Изменение счетчика ингредиентов при добавлении ингредиента","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","1235","Переход на страницу смены пароля по клику на главной странице","page_object.tests","2025-12-09","passed","2025-12-09","TestResetPassword","test_password_reset","",""
"","2722","Выход из аккаунта и открытие формы авторизации","page_object.tests","2025-12-09","passed","2025-12-09","TestPersonalAccount","test_personal_account","",""
"","2762","Открытие всплывающего окна с деталями заказа в ленте заказов","page_object.tests","2025-12-09","passed","2025-12-09","TestOrdersFeed","test_orders_feed","",""
"","1075","Клик по ленте заказов переводит на ленту заказов страницу","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","915","Открытие всплывающего окна с деталями заказа в ленте заказов","page_object.tests","2025-12-09","passed","2025-12-09","TestOrdersFeed","test_orders_feed","",""
"","7657","После оформления заказа его номер появляется в разделе В работе","page_object.tests","2025-12-09","passed","2025-12-09","TestOrdersFeed","test_orders_feed","",""
"","4586","Оформление заказа после авторизации","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","2709","Изменение счетчика ингредиентов при добавлении ингредиента","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","9990","После оформления заказа его номер появляется в разделе В работе","page_object.tests","2025-12-09","passed","2025-12-09","TestOrdersFeed","test_orders_feed","",""
"","7707","Заказы пользователя из раздела История заказов отображаются на странице Лента заказов","page_object.tests","2025-12-09","passed","2025-12-09","TestOrdersFeed","test_orders_feed","",""
"","4440","Выход из аккаунта и открытие формы авторизации","page_object.tests","2025-12-09","passed","2025-12-09","TestPersonalAccount","test_personal_account","",""
"","1089","Открытие всплывающего окна кликом по ингридиенту и закрытие кликом по крестику","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","852","Переход с главной страницы в раздел авторизации","page_object.tests","2025-12-09","passed","2025-12-09","TestPersonalAccount","test_personal_account","",""
"","1244","Клик по конструктору переводит на главную страницу","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","1590","Демонстрация и скрытие пароля","page_object.tests","2025-12-09","passed","2025-12-09","TestResetPassword","test_password_reset","",""
"","9345","Заказы пользователя из раздела История заказов отображаются на странице Лента заказов","page_object.tests","2025-12-09","passed","2025-12-09","TestOrdersFeed","test_orders_feed","",""
"","2906","Демонстрация и скрытие пароля","page_object.tests","2025-12-09","passed","2025-12-09","TestResetPassword","test_password_reset","",""
"","3076","Переход с главной страницы в раздел авторизации","page_object.tests","2025-12-09","passed","2025-12-09","TestPersonalAccount","test_personal_account","",""
"","3305","Переход на страницу смены пароля по клику на главной странице","page_object.tests","2025-12-09","passed","2025-12-09","TestResetPassword","test_password_reset","",""
"","1758","Оформление заказа после авторизации","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","3792","Авторизация и переход в Историю заказов","page_object.tests","2025-12-09","passed","2025-12-09","TestPersonalAccount","test_personal_account","",""
"","3030","Открытие всплывающего окна кликом по ингридиенту и закрытие кликом по крестику","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
"","2910","Клик по конструктору переводит на главную страницу","page_object.tests","2025-12-09","passed","2025-12-09","TestBasicFunctionality","test_basic_functionality","",""
